ID,Year,Make,Model,Trim,Unique_ID,Horsepower,Torque,City MPG,Highway MPG,Driveline,Transmission,Hybrid,Fuel Type
CAR000052,2021,Jeep,Wrangler,Platinum,Jeep_Wrangler_2021_Platinum,301,382,21,40,FWD,Dual-Clutch,No,Gasoline
CAR000053,2017,Subaru,Outback,Premium,Subaru_Outback_2017_Premium,167,345,28,33,4WD,Manual,No,Gasoline
CAR000054,2012,Mercedes-Benz,GLE,S,Mercedes-Benz_GLE_2012_S,534,569,25,27,AWD,Automatic,No,Gasoline
CAR000055,2016,BMW,i3,Touring,BMW_i3_2016_Touring,521,433,17,24,RWD,Automatic,No,Gasoline
CAR000056,1997,Nissan,Sentra,EX,Nissan_Sentra_1997_EX,165,166,30,37,FWD,Manual,No,Gasoline
CAR000057,2013,Audi,A3,XLE,Audi_A3_2013_XLE,321,295,29,25,AWD,Automatic,No,Diesel
CAR000058,2024,Toyota,Venza,XLE,Toyota_Venza_2024_XLE,285,339,26,34,FWD,Automatic,No,Gasoline
CAR000059,2007,Nissan,Versa,Platinum,Nissan_Versa_2007_Platinum,331,294,23,35,RWD,Automatic,No,Gasoline
CAR000060,1999,Honda,Passport,Limited,Honda_Passport_1999_Limited,189,249,21,28,FWD,Automatic,No,Gasoline
CAR000061,2008,Dodge,Durango,LX,Dodge_Durango_2008_LX,255,192,23,28,4WD,Automatic,No,Gasoline
CAR000062,2005,Porsche,Cayenne,Platinum Plus,Porsche_Cayenne_2005_Platinum Plus,275,533,26,22,RWD,Automatic,No,Gasoline
CAR000063,2007,Audi,S6,Ultimate,Audi_S6_2007_Ultimate,367,763,19,24,AWD,Manual,No,Gasoline
CAR000064,2017,Nissan,Sentra,Premium,Nissan_Sentra_2017_Premium,337,317,30,24,RWD,Manual,No,Gasoline
CAR000065,2008,Hyundai,Accent,Luxury,Hyundai_Accent_2008_Luxury,188,323,32,27,FWD,Automatic,No,Gasoline
CAR000066,2019,Tesla,Cybertruck,XLE,Tesla_Cybertruck_2019_XLE,575,858,136,121,AWD,Automatic,No,Electric
CAR000067,2016,Hyundai,Venue,LX,Hyundai_Venue_2016_LX,217,212,27,30,FWD,CVT,No,Gasoline
CAR000068,2012,Chevrolet,Suburban,Grand Touring,Chevrolet_Suburban_2012_Grand Touring,449,251,27,21,AWD,Automatic,No,Gasoline
CAR000069,2020,Mazda,MX-5,L,Mazda_MX-5_2020_L,271,293,20,37,AWD,Manual,No,Gasoline
CAR000070,2021,Subaru,STI,Luxury,Subaru_STI_2021_Luxury,133,263,29,34,FWD,Manual,Yes,Hybrid
CAR000071,2012,BMW,7 Series,Grand Touring,BMW_7 Series_2012_Grand Touring,556,399,17,22,RWD,Manual,No,Gasoline
CAR000072,2022,Hyundai,Santa Fe,XLE,Hyundai_Santa Fe_2022_XLE,160,339,36,39,FWD,Automatic,No,Gasoline
CAR000073,2006,Mercedes-Benz,C-Class,GT,Mercedes-Benz_C-Class_2006_GT,533,582,20,15,RWD,Dual-Clutch,No,Gasoline
CAR000074,1997,BMW,X6,Premium,BMW_X6_1997_Premium,573,444,19,28,AWD,Manual,No,Gasoline
CAR000075,2008,Tesla,Model 3,GT,Tesla_Model 3_2008_GT,734,880,101,85,AWD,Automatic,No,Electric
CAR000076,2023,Chevrolet,Cruze,RS,Chevrolet_Cruze_2023_RS,309,451,20,29,AWD,Manual,No,Gasoline
CAR000077,2002,Mazda,MX-30,Platinum,Mazda_MX-30_2002_Platinum,123,181,29,32,4WD,Manual,No,Gasoline
CAR000078,1997,Kia,Niro,Premium,Kia_Niro_1997_Premium,228,201,27,29,FWD,CVT,No,Gasoline
CAR000079,2004,Mercedes-Benz,EQE,Grand Touring,Mercedes-Benz_EQE_2004_Grand Touring,574,441,28,34,AWD,Automatic,No,Gasoline
CAR000080,2020,Audi,Q3,Black Label,Audi_Q3_2020_Black Label,503,732,18,37,AWD,Automatic,No,Gasoline
CAR000081,2015,Audi,RS4,Premium,Audi_RS4_2015_Premium,367,398,30,31,AWD,Automatic,No,Gasoline
CAR000082,2014,Lexus,UX,GT,Lexus_UX_2014_GT,348,296,17,22,FWD,CVT,No,Gasoline
CAR000083,2005,Ford,Focus,Signature,Ford_Focus_2005_Signature,285,384,16,23,RWD,Automatic,No,Diesel
CAR000084,2006,Mazda,Mazda6,LE,Mazda_Mazda6_2006_LE,332,175,29,33,FWD,Dual-Clutch,No,Gasoline
CAR000085,2010,Chrysler,Town & Country,Platinum,Chrysler_Town & Country_2010_Platinum,143,198,25,25,FWD,CVT,No,Gasoline
CAR000086,1999,Jeep,Wagoneer,Signature,Jeep_Wagoneer_1999_Signature,306,309,27,26,FWD,Automatic,No,Gasoline
CAR000087,2018,Mercedes-Benz,S-Class,AMG,Mercedes-Benz_S-Class_2018_AMG,353,325,28,23,RWD,Manual,Yes,Hybrid
CAR000088,2010,Toyota,Camry,Premium,Toyota_Camry_2010_Premium,269,229,36,42,FWD,Automatic,Yes,Hybrid
CAR000089,2002,Porsche,Boxster,Luxury,Porsche_Boxster_2002_Luxury,603,616,24,16,RWD,Automatic,No,Gasoline
CAR000090,2002,Chevrolet,Colorado,Touring,Chevrolet_Colorado_2002_Touring,369,577,28,23,4WD,Automatic,No,Gasoline
CAR000091,2019,Mercedes-Benz,E-Class,Prestige,Mercedes-Benz_E-Class_2019_Prestige,646,660,25,35,AWD,Automatic,No,Gasoline
CAR000092,2000,BMW,i4,GT,BMW_i4_2000_GT,625,528,13,22,AWD,Automatic,No,Gasoline
CAR000093,2008,Chrysler,Pacifica,LE,Chrysler_Pacifica_2008_LE,199,284,29,34,AWD,Manual,Yes,Hybrid
CAR000094,2018,Dodge,Durango,AMG,Dodge_Durango_2018_AMG,336,457,19,17,RWD,Automatic,No,Gasoline
CAR000095,2024,Dodge,Challenger,Grand Touring,Dodge_Challenger_2024_Grand Touring,327,503,15,19,RWD,Manual,No,Gasoline
CAR000096,2022,Mercedes-Benz,EQS,First Edition,Mercedes-Benz_EQS_2022_First Edition,444,348,30,37,AWD,Manual,No,Gasoline
CAR000097,2008,Nissan,Sentra,Sport,Nissan_Sentra_2008_Sport,224,326,26,28,FWD,CVT,Yes,Plug-in Hybrid
CAR000098,2014,Subaru,Forester,XLE,Subaru_Forester_2014_XLE,196,240,23,27,4WD,CVT,No,Diesel
CAR000099,2002,Chrysler,Pacifica,S,Chrysler_Pacifica_2002_S,176,383,22,34,FWD,Dual-Clutch,No,Gasoline
CAR000100,2012,BMW,6 Series,GT,BMW_6 Series_2012_GT,607,783,23,15,RWD,Automatic,No,Gasoline
CAR000101,2011,Honda,CR-V,Luxury,Honda_CR-V_2011_Luxury,303,305,23,30,AWD,CVT,No,Gasoline
CAR000102,1995,Mercedes-Benz,E-Class,Premium,Mercedes-Benz_E-Class_1995_Premium,416,470,23,28,RWD,Automatic,No,Gasoline
CAR000103,2023,Hyundai,Santa Fe,LE,Hyundai_Santa Fe_2023_LE,226,179,30,46,AWD,Automatic,Yes,Hybrid
CAR000104,2013,Lexus,LC,Platinum Plus,Lexus_LC_2013_Platinum Plus,170,300,18,22,FWD,Automatic,No,Gasoline
CAR000105,2010,Chevrolet,Cruze,Grand Touring,Chevrolet_Cruze_2010_Grand Touring,279,537,17,24,RWD,Automatic,No,Gasoline
CAR000106,2003,Jeep,Grand Wagoneer,Limited,Jeep_Grand Wagoneer_2003_Limited,172,374,30,30,FWD,Automatic,No,Gasoline
CAR000107,2014,Honda,Accord,Luxury,Honda_Accord_2014_Luxury,275,347,32,36,FWD,Automatic,Yes,Hybrid
CAR000108,2000,Audi,S3,Prestige,Audi_S3_2000_Prestige,377,365,23,25,AWD,Automatic,No,Gasoline
CAR000109,2014,Lexus,LFA,XLE,Lexus_LFA_2014_XLE,142,242,32,28,AWD,Manual,Yes,Hybrid
CAR000110,2018,Mazda,Mazda6,Platinum,Mazda_Mazda6_2018_Platinum,250,343,22,35,RWD,Manual,No,Gasoline
CAR000111,2024,Audi,RS4,XLE,Audi_RS4_2024_XLE,464,359,24,26,AWD,Automatic,No,Gasoline
CAR000112,2001,Nissan,Maxima,Luxury,Nissan_Maxima_2001_Luxury,307,218,19,27,4WD,Automatic,No,Gasoline
CAR000113,2024,Subaru,Ascent,Premium,Subaru_Ascent_2024_Premium,132,218,33,39,AWD,Automatic,No,Diesel
CAR000114,2007,Honda,Ridgeline,Luxury,Honda_Ridgeline_2007_Luxury,184,318,34,28,AWD,Automatic,No,Gasoline
CAR000115,2023,Porsche,Cayenne,Luxury,Porsche_Cayenne_2023_Luxury,424,313,38,36,AWD,Automatic,Yes,Plug-in Hybrid
CAR000116,2024,Ram,2500,Turbo,Ram_2500_2024_Turbo,380,706,18,18,4WD,Automatic,No,Gasoline
CAR000117,2017,Chevrolet,Corvette,AMG,Chevrolet_Corvette_2017_AMG,743,923,11,16,RWD,Dual-Clutch,No,Gasoline
CAR000118,1998,Mazda,CX-3,Convenience,Mazda_CX-3_1998_Convenience,341,214,31,31,4WD,Dual-Clutch,No,Gasoline
CAR000119,1996,Tesla,Model 3,Sport,Tesla_Model 3_1996_Sport,440,522,99,87,AWD,Automatic,No,Electric
CAR000120,2019,Jeep,Wrangler,LX,Jeep_Wrangler_2019_LX,334,158,30,38,FWD,Automatic,No,Gasoline
CAR000121,2015,Hyundai,Accent,SE,Hyundai_Accent_2015_SE,295,347,25,32,FWD,Automatic,No,Gasoline
CAR000122,2010,BMW,3 Series,Grand Touring,BMW_3 Series_2010_Grand Touring,521,438,19,33,RWD,Automatic,No,Gasoline
CAR000123,2013,Subaru,Legacy,Grand Touring,Subaru_Legacy_2013_Grand Touring,158,399,29,24,FWD,CVT,No,Gasoline
CAR000124,2007,Hyundai,Kona,Signature,Hyundai_Kona_2007_Signature,288,331,22,34,FWD,Automatic,No,Gasoline
CAR000125,2011,Kia,Forte,LE,Kia_Forte_2011_LE,240,231,33,27,FWD,Automatic,No,Diesel
CAR000126,1998,Audi,e-tron,Ultimate,Audi_e-tron_1998_Ultimate,489,658,15,34,AWD,Automatic,No,Gasoline
CAR000127,1996,Kia,Telluride,Premium,Kia_Telluride_1996_Premium,167,260,29,37,FWD,Automatic,Yes,Hybrid
CAR000128,2003,Lexus,LS,S,Lexus_LS_2003_S,233,261,21,22,RWD,Automatic,No,Gasoline
CAR000129,2001,Mazda,CX-30,Premium,Mazda_CX-30_2001_Premium,316,153,34,39,FWD,CVT,Yes,Plug-in Hybrid
CAR000130,2008,Hyundai,Nexo,Luxury,Hyundai_Nexo_2008_Luxury,190,257,20,36,FWD,CVT,No,Gasoline
CAR000131,2007,Volkswagen,T-Cross,Signature,Volkswagen_T-Cross_2007_Signature,123,174,23,35,RWD,Manual,No,Gasoline
CAR000132,2002,Jeep,Gladiator,LX,Jeep_Gladiator_2002_LX,183,177,23,31,AWD,Dual-Clutch,No,Gasoline
CAR000133,1995,Porsche,Boxster,Turbo,Porsche_Boxster_1995_Turbo,630,446,23,25,RWD,Manual,Yes,Hybrid
CAR000134,1998,BMW,2 Series,Turbo,BMW_2 Series_1998_Turbo,689,635,15,26,RWD,Manual,No,Gasoline
CAR000135,2021,Lexus,LX,Platinum,Lexus_LX_2021_Platinum,161,250,24,36,FWD,CVT,No,Diesel
CAR000136,1999,BMW,X1,Exclusive,BMW_X1_1999_Exclusive,331,705,15,28,RWD,Automatic,No,Gasoline
CAR000137,2014,Ford,Edge,EX,Ford_Edge_2014_EX,183,583,26,23,RWD,Automatic,No,Gasoline
CAR000138,2017,BMW,4 Series,Black Label,BMW_4 Series_2017_Black Label,515,420,25,25,RWD,Automatic,No,Gasoline
CAR000139,2023,Toyota,Highlander,S,Toyota_Highlander_2023_S,169,164,33,40,FWD,Automatic,No,Diesel
CAR000140,2009,Jeep,Gladiator,LE,Jeep_Gladiator_2009_LE,250,308,18,36,FWD,Dual-Clutch,No,Diesel
CAR000141,2003,Ram,1500,Platinum,Ram_1500_2003_Platinum,548,646,12,27,RWD,Automatic,No,Gasoline
CAR000142,2004,Dodge,Journey,Luxury,Dodge_Journey_2004_Luxury,348,507,19,25,AWD,Automatic,No,Gasoline
CAR000143,1998,Kia,Niro,SE,Kia_Niro_1998_SE,296,172,28,36,FWD,CVT,No,Gasoline
CAR000144,2001,Lexus,ES,Ultimate,Lexus_ES_2001_Ultimate,267,204,27,31,RWD,Dual-Clutch,No,Gasoline
CAR000145,2022,Jeep,Wrangler,Premium,Jeep_Wrangler_2022_Premium,298,270,20,36,4WD,CVT,No,Gasoline
CAR000146,2017,Hyundai,Sonata,LX,Hyundai_Sonata_2017_LX,293,160,29,36,FWD,CVT,Yes,Hybrid
CAR000147,2001,Toyota,C-HR,LE,Toyota_C-HR_2001_LE,156,155,29,36,FWD,CVT,No,Gasoline
CAR000148,2022,Volkswagen,Arteon,L,Volkswagen_Arteon_2022_L,232,180,33,38,AWD,Automatic,No,Diesel
CAR000149,2015,Honda,CR-V,L,Honda_CR-V_2015_L,301,377,26,22,AWD,CVT,No,Gasoline
CAR000150,2002,Toyota,RAV4,Premium,Toyota_RAV4_2002_Premium,238,293,30,23,FWD,CVT,No,Gasoline
CAR000151,2007,Ford,Bronco,M,Ford_Bronco_2007_M,488,317,21,21,RWD,Automatic,No,Gasoline
CAR000152,1996,Chevrolet,Traverse,Signature,Chevrolet_Traverse_1996_Signature,356,369,20,20,4WD,Automatic,No,Gasoline
CAR000153,2021,Volkswagen,Golf,Convenience,Volkswagen_Golf_2021_Convenience,181,371,20,29,RWD,Manual,No,Diesel
CAR000154,2017,Volkswagen,Atlas,SE,Volkswagen_Atlas_2017_SE,331,292,30,24,RWD,Automatic,No,Gasoline
CAR000155,2014,Mazda,CX-3,S,Mazda_CX-3_2014_S,216,179,33,36,AWD,Dual-Clutch,Yes,Hybrid
CAR000156,1995,Lexus,GX,Ultimate,Lexus_GX_1995_Ultimate,297,215,20,36,4WD,Automatic,No,Gasoline
CAR000157,1996,Jeep,Cherokee,Grand Touring,Jeep_Cherokee_1996_Grand Touring,241,376,19,28,4WD,CVT,No,Gasoline
CAR000158,2009,Toyota,RAV4,Convenience,Toyota_RAV4_2009_Convenience,176,360,23,27,FWD,Automatic,No,Gasoline
CAR000159,2001,Hyundai,Accent,Premium,Hyundai_Accent_2001_Premium,255,289,28,31,FWD,Automatic,No,Diesel
CAR000160,1995,BMW,i4,Black Label,BMW_i4_1995_Black Label,410,319,21,21,AWD,Automatic,No,Diesel
CAR000161,2023,Nissan,Versa,Limited,Nissan_Versa_2023_Limited,206,315,29,39,AWD,Dual-Clutch,Yes,Hybrid
CAR000162,2010,Jeep,Grand Wagoneer,Limited,Jeep_Grand Wagoneer_2010_Limited,232,224,21,29,RWD,CVT,No,Gasoline
CAR000163,2005,Honda,CR-V,Sport,Honda_CR-V_2005_Sport,310,373,26,31,AWD,Automatic,Yes,Hybrid
CAR000164,2001,Audi,e-tron,Type R,Audi_e-tron_2001_Type R,521,868,31,33,AWD,Automatic,Yes,Plug-in Hybrid
CAR000165,2019,Ram,2500,AMG,Ram_2500_2019_AMG,601,437,13,16,4WD,Automatic,No,Gasoline
CAR000166,2017,Volkswagen,T-Cross,SE,Volkswagen_T-Cross_2017_SE,298,204,25,38,AWD,Automatic,No,Gasoline
CAR000167,2012,Subaru,Crosstrek,Sport,Subaru_Crosstrek_2012_Sport,250,395,13,26,AWD,Automatic,No,Gasoline
CAR000168,1997,Nissan,Ariya,Premium,Nissan_Ariya_1997_Premium,139,307,30,22,RWD,Dual-Clutch,No,Gasoline
CAR000169,2024,Subaru,BRZ,Limited,Subaru_BRZ_2024_Limited,180,221,28,25,AWD,Dual-Clutch,No,Gasoline
CAR000170,2010,Lexus,LFA,RS,Lexus_LFA_2010_RS,217,208,22,30,4WD,Automatic,No,Gasoline
CAR000171,2001,Lexus,LC,Platinum Plus,Lexus_LC_2001_Platinum Plus,177,427,24,22,AWD,CVT,No,Gasoline
CAR000172,2011,Chevrolet,Camaro,Luxury,Chevrolet_Camaro_2011_Luxury,520,612,21,19,RWD,Manual,No,Gasoline
CAR000173,2008,Kia,Carnival,Sport,Kia_Carnival_2008_Sport,319,197,20,27,AWD,CVT,No,Gasoline
CAR000174,2003,Nissan,Rogue,Premium,Nissan_Rogue_2003_Premium,158,251,29,32,RWD,Dual-Clutch,No,Gasoline
CAR000175,1997,Tesla,Model X,S,Tesla_Model X_1997_S,491,524,109,90,AWD,Automatic,No,Electric
CAR000176,2021,Nissan,Murano,Luxury,Nissan_Murano_2021_Luxury,298,304,34,43,FWD,Dual-Clutch,Yes,Hybrid
CAR000177,2001,Toyota,Camry,L,Toyota_Camry_2001_L,246,198,37,36,FWD,Automatic,Yes,Hybrid
CAR000178,2014,Audi,Q5,First Edition,Audi_Q5_2014_First Edition,471,480,20,28,AWD,Automatic,No,Gasoline
CAR000179,2016,Dodge,Viper,SE,Dodge_Viper_2016_SE,474,470,28,28,AWD,Manual,No,Gasoline
CAR000180,2011,Volkswagen,Polo,Sport,Volkswagen_Polo_2011_Sport,276,437,13,16,RWD,Dual-Clutch,No,Gasoline
CAR000181,2006,Ford,Maverick,LX,Ford_Maverick_2006_LX,480,497,26,22,RWD,Manual,No,Diesel
CAR000182,2013,Subaru,Ascent,LE,Subaru_Ascent_2013_LE,177,318,37,38,4WD,Automatic,Yes,Hybrid
CAR000183,2001,Hyundai,Palisade,S,Hyundai_Palisade_2001_S,164,268,28,38,FWD,CVT,No,Gasoline
CAR000184,2004,Toyota,Sequoia,EX,Toyota_Sequoia_2004_EX,202,190,30,30,AWD,CVT,No,Gasoline
CAR000185,2012,Nissan,Altima,Convenience,Nissan_Altima_2012_Convenience,249,257,28,40,RWD,Manual,Yes,Hybrid
CAR000186,2013,Volkswagen,Taos,Premium,Volkswagen_Taos_2013_Premium,277,391,30,37,FWD,CVT,No,Gasoline
CAR000187,2022,Volkswagen,Polo,LE,Volkswagen_Polo_2022_LE,284,170,21,29,RWD,Manual,No,Diesel
CAR000188,2019,Jeep,Compass,XLE,Jeep_Compass_2019_XLE,122,257,29,35,AWD,Dual-Clutch,No,Gasoline
CAR000189,2005,Ford,Expedition,Signature,Ford_Expedition_2005_Signature,236,525,23,30,AWD,Automatic,No,Gasoline
CAR000190,1997,Mercedes-Benz,GLB,RS,Mercedes-Benz_GLB_1997_RS,720,601,17,15,AWD,Manual,No,Gasoline
CAR000191,1997,Audi,A3,Signature,Audi_A3_1997_Signature,401,454,24,20,AWD,Automatic,No,Gasoline
CAR000192,1996,Ford,Fusion,S,Ford_Fusion_1996_S,193,384,18,33,4WD,Automatic,No,Gasoline
CAR000193,2010,Mercedes-Benz,S-Class,Luxury,Mercedes-Benz_S-Class_2010_Luxury,207,366,18,30,RWD,Automatic,No,Gasoline
CAR000194,2019,Ford,Mustang,LE,Ford_Mustang_2019_LE,387,701,22,30,RWD,Manual,No,Gasoline
CAR000195,2022,Audi,Q8,M,Audi_Q8_2022_M,521,435,17,26,AWD,Automatic,No,Gasoline
CAR000196,2005,Subaru,Outback,XLE,Subaru_Outback_2005_XLE,345,188,28,42,FWD,Dual-Clutch,Yes,Hybrid
CAR000197,2021,Chevrolet,Spark,GT,Chevrolet_Spark_2021_GT,483,627,22,28,AWD,Automatic,No,Gasoline
CAR000198,2001,Chevrolet,Impala,Sport,Chevrolet_Impala_2001_Sport,331,697,24,24,AWD,Automatic,No,Diesel
CAR000199,2021,Subaru,Ascent,Sport,Subaru_Ascent_2021_Sport,261,342,28,21,RWD,Manual,No,Gasoline
CAR000200,2012,Jeep,Wrangler,EX,Jeep_Wrangler_2012_EX,150,368,19,34,4WD,Dual-Clutch,No,Gasoline
CAR000201,2011,Porsche,Cayman,Ultimate,Porsche_Cayman_2011_Ultimate,556,754,19,29,AWD,Dual-Clutch,No,Gasoline
CAR000202,2012,Nissan,Rogue,Premium,Nissan_Rogue_2012_Premium,243,393,36,32,4WD,CVT,Yes,Hybrid
CAR000203,2018,Toyota,Venza,Touring,Toyota_Venza_2018_Touring,201,208,36,42,FWD,Automatic,Yes,Plug-in Hybrid
CAR000204,2008,Mercedes-Benz,AMG GT,Premium,Mercedes-Benz_AMG GT_2008_Premium,311,330,19,23,RWD,Manual,No,Gasoline
CAR000205,1997,Honda,HR-V,LX,Honda_HR-V_1997_LX,268,221,34,37,FWD,CVT,No,Gasoline
CAR000206,2012,Lexus,UX,First Edition,Lexus_UX_2012_First Edition,331,369,18,37,4WD,Dual-Clutch,No,Gasoline
CAR000207,2022,Ford,Ranger,Turbo,Ford_Ranger_2022_Turbo,202,360,19,19,RWD,Automatic,No,Gasoline
CAR000208,2010,Subaru,STI,Limited,Subaru_STI_2010_Limited,179,188,20,36,4WD,Manual,No,Gasoline
CAR000209,2009,Tesla,Model S,Touring,Tesla_Model S_2009_Touring,445,597,139,93,AWD,Automatic,No,Electric
CAR000210,2024,Jeep,Grand Cherokee,Premium,Jeep_Grand Cherokee_2024_Premium,190,290,25,29,RWD,CVT,No,Gasoline
CAR000211,2016,Volkswagen,Taos,LX,Volkswagen_Taos_2016_LX,232,235,32,36,AWD,CVT,No,Gasoline
